Team vte,Pld,W,D,L,GF,GA,GD,Pts
Atlético Madrid,32,22,7,3,59,20,39,81
Real Madrid,33,21,8,4,56,24,32,81
Barcelona,32,22,5,5,76,29,47,85
Sevilla,33,22,4,7,49,26,23,78
Real Sociedad,32,13,11,8,50,34,16,50
Real Betis,33,14,8,11,42,45,-3,50
Villarreal,33,12,13,8,50,38,12,49
Granada,32,12,6,14,41,53,-12,42
Celta Vigo,33,10,11,12,44,51,-7,41
Osasuna,33,10,10,13,31,39,-8,40
Athletic Bilbao,31,9,11,11,39,33,6,38
Levante,33,9,11,13,38,46,-8,38
Cádiz,33,9,10,14,28,49,-21,37
Valencia,33,8,12,13,41,48,-7,36
Getafe,33,8,10,15,26,39,-13,34
Alavés,33,7,10,16,28,49,-21,31
Elche,33,6,12,15,29,49,-20,30
Valladolid,32,5,14,13,29,43,-14,29
Huesca,33,5,12,16,31,50,-19,27
Eibar,32,4,11,17,23,45,-22,23
